Daily Performance: Ad Group Level
"January 1, 2025 - February 9, 2025"
Day,Campaign,Ad group,Impr.,Clicks,CTR,Currency code,Cost,Conversions,Conv. rate,Events / session (GA4)
2025-01-30,TS / Search / San Francisco,Senior Care Services,66,4,6.06%,USD,43.48,0.00,0.00%,5.67
2025-01-31,TS / Search / San Francisco,In-Home Care Services,165,5,3.03%,USD,26.99,0.00,0.00%,5.86
2025-01-31,TS / Search / San Francisco,Old Keywords,229,9,3.93%,USD,93.91,0.00,0.00%,5.11
2025-01-31,TS / Search / San Francisco,Senior Care Services,45,2,4.44%,USD,10.61,0.00,0.00%,11.00
2025-02-01,TS / Search / San Francisco,In-Home Care Services,270,12,4.44%,USD,94.48,1.00,8.33%,7.55
2025-02-01,TS / Search / San Francisco,Old Keywords,348,16,4.60%,USD,168.21,1.00,6.25%,6.83
2025-02-01,TS / Search / San Francisco,Senior Care Services,97,3,3.09%,USD,26.44,0.00,0.00%,14.50
2025-02-02,TS / Search / San Francisco,In-Home Care Services,453,20,4.42%,USD,123.41,0.00,0.00%,4.76
2025-02-02,TS / Search / San Francisco,Old Keywords,497,17,3.42%,USD,110.89,1.00,5.88%,4.75
2025-02-02,TS / Search / San Francisco,Senior Care Services,182,7,3.85%,USD,43.07,0.00,0.00%,4.00
2025-02-03,TS / Search / San Francisco,Brand,1,1,100.00%,USD,15.00,0.00,0.00%, --
2025-02-03,TS / Search / San Francisco,In-Home Care Services,499,19,3.81%,USD,158.57,0.00,0.00%,4.47
2025-02-03,TS / Search / San Francisco,Old Keywords,532,17,3.20%,USD,158.34,0.00,0.00%,6.13
2025-02-03,TS / Search / San Francisco,Senior Care Services,166,6,3.61%,USD,55.03,0.00,0.00%,4.40
2025-02-04,TS / Search / San Francisco,In-Home Care Services,544,20,3.68%,USD,190.29,0.00,0.00%,4.27
2025-02-04,TS / Search / San Francisco,Old Keywords,487,9,1.85%,USD,135.17,0.00,0.00%,4.86
2025-02-04,TS / Search / San Francisco,Senior Care Services,187,7,3.74%,USD,68.91,0.00,0.00%,5.33
2025-02-05,TS / Search / San Francisco,In-Home Care Services,604,21,3.48%,USD,242.55,0.00,0.00%,6.35
2025-02-05,TS / Search / San Francisco,Old Keywords,309,7,2.27%,USD,69.46,0.00,0.00%,6.17
2025-02-05,TS / Search / San Francisco,Senior Care Services,126,1,0.79%,USD,9.59,0.00,0.00%,3.00
2025-02-06,TS / Search / San Francisco,Brand,1,0,0.00%,USD,0.00,0.00,0, --
2025-02-06,TS / Search / San Francisco,In-Home Care Services,684,26,3.80%,USD,322.90,1.00,3.85%,5.54
2025-02-06,TS / Search / San Francisco,Old Keywords,19,0,0.00%,USD,0.00,0.00,0,3.50
2025-02-06,TS / Search / San Francisco,Senior Care Services,19,0,0.00%,USD,0.00,0.00,0, --
2025-02-07,TS / Search / San Francisco,Brand,1,0,0.00%,USD,0.00,0.00,0, --
2025-02-07,TS / Search / San Francisco,In-Home Care Services,630,27,4.29%,USD,246.56,0.00,0.00%,4.50
2025-02-07,TS / Search / San Francisco,Old Keywords,14,0,0.00%,USD,0.00,0.00,0, --
2025-02-07,TS / Search / San Francisco,Senior Care Services,14,0,0.00%,USD,0.00,0.00,0, --
2025-02-08,TS / Search / San Francisco,In-Home Care Services,486,10,2.06%,USD,79.20,0.00,0.00%,6.71
2025-02-08,TS / Search / San Francisco,Old Keywords,39,1,2.56%,USD,3.41,0.00,0.00%,18.00
2025-02-08,TS / Search / San Francisco,Senior Care Services,11,0,0.00%,USD,0.00,0.00,0, --
2025-02-09,TS / Search / San Francisco,In-Home Care Services,456,9,1.97%,USD,72.54,0.00,0.00%,6.11
2025-02-09,TS / Search / San Francisco,Old Keywords,20,0,0.00%,USD,0.00,0.00,0, --
2025-02-09,TS / Search / San Francisco,Senior Care Services,9,0,0.00%,USD,0.00,0.00,0, --
